1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,12.4665,9999,9999,1^3^20:1^1^1520
9999,12.5539,9999,9999,1^4^20:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,7.30621,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,8.02111,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,15.2031,9999,9999,1^4^20:1^1^1520
9999,5.48814,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,15.9551,9999,9999,1^4^20:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,17.9937,9999,9999,1^4^20:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,5.55735,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,11.3161,9999,9999,1^3^20:1^1^1520
9999,7.83349,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,19.1089,9999,9999,1^3^20:1^1^1520
9999,18.2547,9999,9999,1^4^20:1^1^1520
9999,6.93817,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,13.8911,9999,9999,1^4^20:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,11.2748,9999,9999,1^3^20:1^1^1520
9999,12.9923,9999,9999,1^4^20:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,4.4509,9999,9999,1^2^20:1^4^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,14.986,9999,9999,1^4^20:1^1^1520
9999,2.57996,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,11.1872,9999,9999,1^4^20:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,16.6105,9999,9999,1^4^20:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,12.8048,9999,9999,1^4^20:1^1^1520
9999,5.65156,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,2.69354,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,7.9779,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,8.22354,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,13.0969,9999,9999,1^3^20:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,16.6438,9999,9999,1^4^20:1^1^1520
9999,7.16452,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,7.16234,9999,9999,1^2^20:1^4^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,4.96057,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,4.60765,9999,9999,1^2^20:1^4^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,19.0569,9999,9999,1^3^20:1^1^1520
9999,9.27364,9999,9999,1^4^20:1^1^1520
9999,0.95935,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,16.363,9999,9999,1^4^20:1^1^1520
9999,17.5781,9999,9999,1^3^20:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,0.566224,9999,9999,1^2^20:1^3^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,16.2794,9999,9999,1^3^20:1^1^1520
9999,8.59476,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,12.0795,9999,9999,1^3^20:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,3.75505,9999,9999,1^2^20:1^4^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,12.0025,9999,9999,1^4^20:1^1^1520
9999,17.4919,9999,9999,1^3^20:1^1^1520
9999,15.6252,9999,9999,1^4^20:1^1^1520
9999,1.78373,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,9.63136,9999,9999,1^4^20:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,7.11989,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,19.0331,9999,9999,1^3^20:1^1^1520
9999,17.2337,9999,9999,1^4^20:1^1^1520
9999,6.03478,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,14.6394,9999,9999,1^4^20:1^1^1520
9999,5.34103,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,15.3577,9999,9999,1^4^20:1^1^1520
9999,14.3305,9999,9999,1^3^20:1^1^1520
9999,15.7109,9999,9999,1^4^20:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,13.9536,9999,9999,1^4^20:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,1.56226,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,8.83349,9999,9999,1^2^20:1^3^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,2.62028,9999,9999,1^2^20:1^3^1020:1^1^1520
